Sample	Local
SARR2   	RJ_Arraial
SARR4   	RJ_Arraial
SARR5   	RJ_Arraial
SARR7   	RJ_Arraial
SPAR11  	SC_Armação
SPAR111 	SC_Armação
SPAR112 	SC_Armação
SPAR113 	SC_Armação
SPAR114 	SC_Armação
SPAR115 	SC_Armação
SPAR116 	SC_Armação
SPAR119 	SC_Armação
SPAR120 	SC_Armação
SPAR121 	SC_Armação
SPAR122 	SC_Armação
SPAR123 	SC_Armação
SPAR15  	SC_Armação
SPAR18  	SC_Armação
SPAR21  	SC_Armação
SPAR210 	SC_Armação
SPAR22  	SC_Armação
SPAR23  	SC_Armação
SPAR24  	SC_Armação
SPAR25  	SC_Armação
SPAR26  	SC_Armação
SPAR28  	SC_Armação
SPAR31  	SC_Armação
SPAR310 	SC_Armação
SPAR311 	SC_Armação
SPAR32  	SC_Armação
SPAR33  	SC_Armação
SPAR34  	SC_Armação
SPAR39  	SC_Armação
SPES21  	PR_Estaleiro
SPES23  	PR_Estaleiro
SPES24  	PR_Estaleiro
SPES25  	PR_Estaleiro
SPES27  	PR_Estaleiro
SPES28  	PR_Estaleiro
SPES31  	PR_Estaleiro
SPES310 	PR_Estaleiro
SPES311 	PR_Estaleiro
SPES32  	PR_Estaleiro
SPES33  	PR_Estaleiro
SPES34  	PR_Estaleiro
SPES35  	PR_Estaleiro
SPES38  	PR_Estaleiro
SPES39  	PR_Estaleiro
SPNP1   	BA_Prado
SPNP10  	BA_Prado
SPNP11  	BA_Prado
SPNP12  	BA_Prado
SPNP13  	BA_Prado
SPNP14  	BA_Prado
SPNP15  	BA_Prado
SPNP16  	BA_Prado
SPNP17  	BA_Prado
SPNP19  	BA_Prado
SPNP2   	BA_Prado
SPNP3   	BA_Prado
SPNP5   	BA_Prado
SPNP6   	BA_Prado
SPNP8   	BA_Prado
SPNP9   	BA_Prado
SPTT11  	SP_ToqueToque
SPTT110 	SP_ToqueToque
SPTT112 	SP_ToqueToque
SPTT113 	SP_ToqueToque
SPTT114 	SP_ToqueToque
SPTT12  	SP_ToqueToque
SPTT13  	SP_ToqueToque
SPTT14  	SP_ToqueToque
SPTT15  	SP_ToqueToque
SPTT16  	SP_ToqueToque
SPTT17  	SP_ToqueToque
SPTT18  	SP_ToqueToque
SPTT21  	SP_ToqueToque
SPTT210 	SP_ToqueToque
SPTT22  	SP_ToqueToque
SPTT23  	SP_ToqueToque
SPTT24  	SP_ToqueToque
SPTT25  	SP_ToqueToque
SPTT26  	SP_ToqueToque
SPTT27  	SP_ToqueToque
SPTT28  	SP_ToqueToque
SPTT29  	SP_ToqueToque
SPTT31  	SP_ToqueToque
SPTT32  	SP_ToqueToque
SPTT33  	SP_ToqueToque
SPTT34  	SP_ToqueToque
SPTT36  	SP_ToqueToque
SPTT37  	SP_ToqueToque
SPTT382 	SP_ToqueToque
SPVER11 	SP_Vermelha
SPVER12 	SP_Vermelha
SPVER13 	SP_Vermelha
SPVER14 	SP_Vermelha
SPVER15 	SP_Vermelha
SPVER16 	SP_Vermelha
SPVER17 	SP_Vermelha
SPVER18 	SP_Vermelha
SPVER21 	SP_Vermelha
SPVER22 	SP_Vermelha
SPVER23 	SP_Vermelha
SPVER24 	SP_Vermelha
SPVER31 	SP_Vermelha
SPVER32 	SP_Vermelha
SPVER33 	SP_Vermelha
SPVER34 	SP_Vermelha
SPVER35 	SP_Vermelha
SPVER36 	SP_Vermelha
SPVER37 	SP_Vermelha
SPVER38 	SP_Vermelha
SPVER39 	SP_Vermelha
SPVER45 	SP_Vermelha
SPVER46 	SP_Vermelha
SPVER47 	SP_Vermelha
SPVER48 	SP_Vermelha
SPVER49 	SP_Vermelha
SPVER510	SP_Vermelha
SPVER511	SP_Vermelha
SPVER54 	SP_Vermelha
SPVER55 	SP_Vermelha
SPVER56 	SP_Vermelha
SPVER57 	SP_Vermelha
SPVER59 	SP_Vermelha
SPVER61 	SP_Vermelha
SPVER62 	SP_Vermelha
SPVER63 	SP_Vermelha
SPVER64 	SP_Vermelha
SPVER65 	SP_Vermelha
SPVER67 	SP_Vermelha
SPVER68 	SP_Vermelha
SPVER6A 	SP_Vermelha
SPVER6B 	SP_Vermelha
SPVER6C 	SP_Vermelha
SSAQ1   	RJ_Saquarema
SSAQ10  	RJ_Saquarema
SSAQ11  	RJ_Saquarema
SSAQ14  	RJ_Saquarema
SSAQ15  	RJ_Saquarema
SSAQ16  	RJ_Saquarema
SSAQ17  	RJ_Saquarema
SSAQ18  	RJ_Saquarema
SSAQ2   	RJ_Saquarema
SSAR5   	RJ_Arraial
